joao.silva,Semana da Tecnologia,C
maria.souza,Semana da Tecnologia,C
joao.silva,Workshop Django,P
professor,Hackathon IFB,C
pedro.henrique,Semana da Tecnologia,C
mariana.costa,Semana da Tecnologia,C
gabriel.santos,Semana da Tecnologia,P
beatriz.lima,Semana da Tecnologia,P
felipe.souza,Workshop Django,C
thiago.almeida,Workshop Django,C
pedro.henrique,Hackathon IFB,C
gabriel.santos,Hackathon IFB,C
camila.ferreira,Inteligência Artificial na Prática,P
larissa.rodrigues,Inteligência Artificial na Prática,C
rafael.goncalves,Oficina de Robótica com Arduino,C
juliana.barbosa,Oficina de Robótica com Arduino,C
gustavo.melo,Seminário de Cibersegurança,C
amanda.pinto,Seminário de Cibersegurança,P
vinicius.carvalho,Curso de Git e GitHub,C
leticia.teixeira,Curso de Git e GitHub,C
andre.moreira,Feira de Estágios 2025,P
carol.nascimento,Feira de Estágios 2025,P
lucas.coelho,Workshop de UX/UI Design,C
isabela.moraes,Maratona de Games,C
matheus.vieira,Maratona de Games,C
bruna.duarte,Palestra: Mulheres na TI,P
daniel.cardoso,Curso de Excel Avançado,C
renata.ribeiro,Encontro de Egressos,C
vitor.machado,Introdução ao Linux,C
alice.freitas,Bootcamp Fullstack,C
caio.brito,Bootcamp Fullstack,C
conv.patricia,Semana da Tecnologia,P
conv.ricardo,Feira de Estágios 2025,P
rep.eduardo,Semana do Empreendedorismo,C
visitante.luz,Fórum de Sustentabilidade,C
par.tiago,Feira de Estágios 2025,P
pedro.henrique,Torneio de E-Sports,C
felipe.souza,Torneio de E-Sports,P
mariana.costa,Oficina de Pitch,C
joao.silva,Curso de Python para Dados,C
maria.souza,Semana do Empreendedorismo,P
dr.paulo,Encontro de Egressos,P
eng.marcos,Workshop Metodologias Ágeis,C
dev.lucas,Torneio de E-Sports,P
